"Date","HourPST","Min°F","Avg°F","Max°F","DewPoint°F","RelHum%","TotPrecin","Speedmph","Gustmph","Dir°","LeafWetu.","SolarRadW/m²","8 in. SoilTmp°F","Atm.Press.inHg","2nd AirTempAvg°F"
"2017-06-02","01:00","57.9","58.1","58.3","48.8","71.1","0.00","2.7","9.2","E","0.00","0","66.6","30.04","58.0"
"2017-06-02","02:00","57.7","57.8","58.0","49.8","74.5","0.00","3.2","7.1","E","0.00","0","66.4","30.04","57.7"
"2017-06-02","03:00","57.4","57.5","57.7","50.3","76.9","0.00","3.7","10.3","E","0.00","0","66.2","30.05","57.4"
"2017-06-02","04:00","57.2","57.3","57.4","50.2","77.3","0.00","3.3","7.4","E","0.00","0","66.0","30.07","57.2"
"2017-06-02","05:00","56.9","57.1","57.3","50.3","77.8","0.00","2.2","6.7","E","0.00","4","65.8","30.08","57.0"
"2017-06-02","06:00","57.5","57.8","58.0","50.7","77.3","0.00","2.8","6.7","E","0.00","26","65.6","30.08","57.7"
"2017-06-02","07:00","58.0","58.1","58.4","50.8","76.4","0.00","2.4","7.4","E","0.00","45","65.4","30.09","58.0"
"2017-06-02","08:00","58.8","59.6","60.0","50.9","73.0","0.00","3.4","7.8","E","0.00","182","65.2","30.11","59.5"
"2017-06-02","09:00","61.4","62.2","63.6","50.6","65.9","0.00","4.0","9.9","E","0.00","389","65.1","30.12","62.1"
"2017-06-02","10:00","62.9","63.4","64.1","50.6","63.0","0.00","3.3","8.5","E","0.00","394","65.1","30.12","63.4"
"2017-06-02","11:00","63.7","64.9","66.0","51.4","61.5","0.00","3.3","8.2","E","0.00","542","65.1","30.11","64.9"
"2017-06-02","12:00","65.7","66.2","66.9","51.6","59.2","0.00","3.1","8.5","E","0.00","581","65.3","30.11","66.2"
"2017-06-02","13:00","65.2","67.3","68.4","51.3","56.6","0.00","2.3","6.4","E","0.00","631","65.6","30.10","67.3"
"2017-06-02","14:00","67.3","67.9","69.1","49.9","52.6","0.00","1.7","6.4","N","0.00","399","66.0","30.08","67.8"
"2017-06-02","15:00","70.5","71.4","72.1","48.7","44.6","0.00","2.8","6.7","E","0.00","795","66.4","30.06","71.4"
"2017-06-02","16:00","72.4","72.6","72.8","45.2","37.5","0.00","3.3","8.2","S","0.00","626","66.8","30.05","72.6"
"2017-06-02","17:00","72.4","72.7","73.0","45.3","37.4","0.00","3.1","7.4","S","0.00","457","67.2","30.03","72.7"
"2017-06-02","18:00","71.5","72.2","72.7","46.1","39.3","0.00","2.3","6.4","SE","0.00","280","67.5","30.01","72.3"
"2017-06-02","19:00","67.3","70.1","71.6","48.0","45.6","0.00","1.9","4.6","SW","0.00","142","67.7","29.99","70.0"
"2017-06-02","20:00","64.1","65.5","66.4","50.6","58.5","0.00","2.2","6.4","W","0.00","23","67.7","29.97","65.4"
"2017-06-02","21:00","61.1","62.1","63.5","50.4","65.5","0.00","1.6","6.4","W","0.00","0","67.7","29.97","62.0"
"2017-06-02","22:00","57.3","59.3","61.3","50.8","73.6","0.00","1.0","6.0","W","0.00","0","67.6","29.97","59.2"
"2017-06-02","23:00","56.0","56.1","56.5","50.9","82.3","0.00","0.3","2.8","NW","0.00","0","67.4","29.98","56.0"
"2017-06-02","24:00","55.7","56.4","57.2","50.7","81.1","0.00","0.4","3.5","W","0.00","0","67.2","29.98","56.3"
"2017-06-03","01:00","54.7","55.0","55.2","51.0","86.3","0.00","0.0","1.7","NW","0.00","0","66.9","29.99","54.8"
"2017-06-03","02:00","55.6","56.0","56.5","50.3","81.0","0.00","0.6","4.6","W","0.00","0","66.6","30.01","55.8"
"2017-06-03","03:00","54.8","55.5","56.0","49.6","80.5","0.00","0.9","4.2","W","0.00","0","66.3","30.03","55.3"
"2017-06-03","04:00","54.2","54.9","55.7","50.4","84.5","0.00","0.0","0.0","N","0.00","0","66.1","30.05","54.8"
"2017-06-03","05:00","56.1","56.9","57.3","50.1","78.1","0.00","1.9","5.3","E","0.00","8","65.9","30.05","56.8"
"2017-06-03","06:00","57.2","57.3","57.4","48.5","72.5","0.00","2.2","6.0","E","0.00","28","65.6","30.06","57.2"
"2017-06-03","07:00","57.6","58.0","58.4","48.4","70.1","0.00","2.1","5.7","E","0.00","76","65.5","30.07","57.9"
"2017-06-03","08:00","58.4","58.6","58.7","47.9","67.5","0.00","2.2","4.9","E","0.00","119","65.3","30.08","58.6"
"2017-06-03","09:00","58.9","59.5","59.9","47.8","65.2","0.00","1.7","5.3","E","0.00","195","65.2","30.09","59.4"
"2017-06-03","10:00","60.2","61.0","61.5","47.0","59.9","0.00","2.2","6.4","SE","0.00","318","65.1","30.09","61.1"
"2017-06-03","11:00","60.9","61.2","61.6","46.1","57.5","0.00","2.7","8.2","SW","0.00","318","65.1","30.09","61.2"
"2017-06-03","12:00","61.2","61.9","62.3","47.1","58.3","0.00","3.2","7.4","S","0.00","368","65.2","30.08","61.9"
"2017-06-03","13:00","60.8","61.4","62.0","48.7","62.9","0.00","3.2","7.4","W","0.00","238","65.3","30.08","61.3"
"2017-06-03","14:00","62.3","62.5","62.7","49.0","61.2","0.00","3.5","9.6","NW","0.00","364","65.4","30.08","62.3"
"2017-06-03","15:00","62.6","63.1","63.6","48.5","58.8","0.00","2.6","7.4","NW","0.00","348","65.6","30.06","63.0"
"2017-06-03","16:00","63.7","64.9","66.4","48.0","54.3","0.00","3.4","7.4","W","0.00","481","65.8","30.05","64.6"
"2017-06-03","17:00","65.2","65.6","65.9","46.9","50.8","0.00","4.9","12.8","W","0.00","507","66.0","30.04","65.4"
"2017-06-03","18:00","63.8","64.7","65.2","46.0","50.7","0.00","4.5","9.2","W","0.00","316","66.1","30.03","64.5"
"2017-06-03","19:00","61.6","62.8","63.7","45.4","53.0","0.00","4.0","7.8","W","0.00","141","66.2","30.03","62.6"
"2017-06-03","20:00","58.8","59.9","60.9","44.2","56.1","0.00","3.9","7.4","W","0.00","18","66.2","30.03","59.8"
"2017-06-03","21:00","54.9","56.9","58.1","43.0","59.7","0.00","2.3","6.7","W","0.00","1","66.2","30.04","56.8"
"2017-06-03","22:00","51.1","52.1","53.2","44.2","74.3","0.00","0.0","1.7","SE","0.00","0","66.0","30.05","51.8"
"2017-06-03","23:00","51.3","51.7","52.3","45.1","78.2","0.00","0.1","2.4","NW","0.00","0","65.8","30.06","51.5"
"2017-06-03","24:00","52.8","54.0","55.0","45.0","71.7","0.00","0.8","4.2","NW","0.00","0","65.6","30.06","53.8"
"2017-06-04","01:00","54.4","54.6","54.9","44.8","69.3","0.00","1.8","5.7","NW","0.00","0","65.3","30.06","54.5"
"2017-06-04","02:00","54.0","54.3","54.5","45.9","73.1","0.00","1.1","4.2","NW","0.00","0","65.1","30.07","54.2"
"2017-06-04","03:00","53.2","53.5","53.8","46.3","76.3","0.00","0.6","3.9","NW","0.00","0","64.9","30.07","53.4"
"2017-06-04","04:00","53.6","53.7","53.7","45.4","73.4","0.00","0.8","3.5","N","0.00","0","64.7","30.08","53.5"
"2017-06-04","05:00","53.4","53.5","53.5","45.0","72.9","0.00","1.1","4.2","N","0.00","4","64.5","30.09","53.3"
"2017-06-04","06:00","53.0","53.3","53.6","45.1","73.7","0.00","2.0","4.9","NW","0.00","21","64.3","30.11","53.2"
"2017-06-04","07:00","53.1","53.6","54.6","45.4","73.4","0.00","2.1","5.7","NW","0.00","126","64.2","30.11","53.5"
"2017-06-04","08:00","54.6","55.1","55.7","45.5","69.9","0.00","2.5","5.7","N","0.00","242","64.0","30.12","54.9"
"2017-06-04","09:00","56.3","56.9","57.4","45.4","65.3","0.00","3.0","7.1","N","0.00","356","63.9","30.13","56.7"
