date,Hour,ad_mwh
7/12/2015,11,1025
7/12/2015,12,1052
7/12/2015,13,1070
7/12/2015,14,1028
7/12/2015,15,1044
7/12/2015,16,1064
7/12/2015,17,1078
7/12/2015,18,1101
7/12/2015,19,1091
7/12/2015,20,1084
7/12/2015,21,1075
7/12/2015,22,1076
7/12/2015,23,1026
7/12/2015,24,938
7/13/2015,1,877
7/13/2015,2,841
7/13/2015,3,822
7/13/2015,4,817
7/13/2015,5,842
7/13/2015,6,902
7/13/2015,7,1011
7/13/2015,8,1134
7/13/2015,9,1175
7/13/2015,10,1182
7/13/2015,11,1210
7/13/2015,12,1219
7/13/2015,13,1230
7/13/2015,14,1250
7/13/2015,15,1249
7/13/2015,16,1235
7/13/2015,17,1229
7/13/2015,18,1222
7/13/2015,19,1187
7/13/2015,20,1144
7/13/2015,21,1122
7/13/2015,22,1107
7/13/2015,23,1049
7/13/2015,24,940
7/14/2015,1,869
7/14/2015,2,812
7/14/2015,3,804
7/14/2015,4,804
7/14/2015,5,825
7/14/2015,6,858
7/14/2015,7,977
7/14/2015,8,1098
7/14/2015,9,1145
7/14/2015,10,1178
7/14/2015,11,1198
7/14/2015,12,1227
7/14/2015,13,1225
7/14/2015,14,1248
7/14/2015,15,1253
7/14/2015,16,1244
7/14/2015,17,1237
7/14/2015,18,1222
7/14/2015,19,1132
7/14/2015,20,1098
7/14/2015,21,1071
7/14/2015,22,1067
7/14/2015,23,1013
7/14/2015,24,912
7/15/2015,1,838
7/15/2015,2,795
7/15/2015,3,770
7/15/2015,4,755
7/15/2015,5,774
7/15/2015,6,804
7/15/2015,7,934
7/15/2015,8,1057
7/15/2015,9,1108
7/15/2015,10,1142
7/15/2015,11,1145
7/15/2015,12,1176
7/15/2015,13,1185
7/15/2015,14,1186
7/15/2015,15,1182
7/15/2015,16,1189
7/15/2015,17,1193
7/15/2015,18,1178
7/15/2015,19,1123
7/15/2015,20,1084
7/15/2015,21,1065
7/15/2015,22,1069
7/15/2015,23,995
7/15/2015,24,901
7/16/2015,1,838
7/16/2015,2,792
7/16/2015,3,765
7/16/2015,4,758
7/16/2015,5,767
7/16/2015,6,823
7/16/2015,7,924
7/16/2015,8,1026
7/16/2015,9,1064
7/16/2015,10,1093
7/16/2015,11,1119
7/16/2015,12,1136
7/16/2015,13,1154
7/16/2015,14,1161
7/16/2015,15,1177
7/16/2015,16,1160
7/16/2015,17,1170
7/16/2015,18,1159
7/16/2015,19,1115
7/16/2015,20,1080
7/16/2015,21,1049
7/16/2015,22,1047
7/16/2015,23,1006
