date,hour,mwh
7/12/2015,18,1025
7/12/2015,19,1052
7/12/2015,20,1070
7/12/2015,21,1028
7/12/2015,22,1044
7/12/2015,23,1064
7/13/2015,0,1078
7/13/2015,1,1101
7/13/2015,2,1091
7/13/2015,3,1084
7/13/2015,4,1075
7/13/2015,5,1076
7/13/2015,6,1026
7/13/2015,7,938
7/13/2015,8,877
7/13/2015,9,841
7/13/2015,10,822
7/13/2015,11,817
7/13/2015,12,842
7/13/2015,13,902
7/13/2015,14,1011
7/13/2015,15,1134
7/13/2015,16,1175
7/13/2015,17,1182
7/13/2015,18,1210
7/13/2015,19,1219
7/13/2015,20,1230
7/13/2015,21,1250
7/13/2015,22,1249
7/13/2015,23,1235
7/14/2015,0,1229
7/14/2015,1,1222
7/14/2015,2,1187
7/14/2015,3,1144
7/14/2015,4,1122
7/14/2015,5,1107
7/14/2015,6,1049
7/14/2015,7,940
7/14/2015,8,869
7/14/2015,9,812
7/14/2015,10,804
7/14/2015,11,804
7/14/2015,12,825
7/14/2015,13,858
7/14/2015,14,977
7/14/2015,15,1098
7/14/2015,16,1145
7/14/2015,17,1178
7/14/2015,18,1198
7/14/2015,19,1227
7/14/2015,20,1225
7/14/2015,21,1248
7/14/2015,22,1253
7/14/2015,23,1244
7/15/2015,0,1237
7/15/2015,1,1222
7/15/2015,2,1132
7/15/2015,3,1098
7/15/2015,4,1071
7/15/2015,5,1067
7/15/2015,6,1013
7/15/2015,7,912
7/15/2015,8,838
7/15/2015,9,795
7/15/2015,10,770
7/15/2015,11,755
7/15/2015,12,774
7/15/2015,13,804
7/15/2015,14,934
7/15/2015,15,1057
7/15/2015,16,1108
7/15/2015,17,1142
7/15/2015,18,1145
7/15/2015,19,1176
7/15/2015,20,1185
7/15/2015,21,1186
7/15/2015,22,1182
7/15/2015,23,1189
7/16/2015,0,1193
7/16/2015,1,1178
7/16/2015,2,1123
7/16/2015,3,1084
7/16/2015,4,1065
7/16/2015,5,1069
7/16/2015,6,995
7/16/2015,7,901
7/16/2015,8,838
7/16/2015,9,792
7/16/2015,10,765
7/16/2015,11,758
7/16/2015,12,767
7/16/2015,13,823
7/16/2015,14,924
7/16/2015,15,1026
7/16/2015,16,1064
7/16/2015,17,1093
7/16/2015,18,1119
7/16/2015,19,1136
7/16/2015,20,1154
7/16/2015,21,1161
7/16/2015,22,1177
7/16/2015,23,1160
7/17/2015,0,1170
7/17/2015,1,1159
7/17/2015,2,1115
7/17/2015,3,1080
7/17/2015,4,1049
7/17/2015,5,1047
7/17/2015,6,1006
7/17/2015,7,911
7/17/2015,8,834
7/17/2015,9,791
7/17/2015,10,764
7/17/2015,11,772
7/17/2015,12,788
7/17/2015,13,835
7/17/2015,14,970
7/17/2015,15,1068
7/17/2015,16,1126
7/17/2015,17,1167
7/17/2015,18,1195
7/17/2015,19,1219
7/17/2015,20,1233
7/17/2015,21,1229
7/17/2015,22,1220
7/17/2015,23,1211
7/18/2015,0,1209
7/18/2015,1,1192
7/18/2015,2,1141
7/18/2015,3,1107
7/18/2015,4,1081
7/18/2015,5,1087
7/18/2015,6,1042
7/18/2015,7,963
7/18/2015,8,898
7/18/2015,9,856
7/18/2015,10,826
7/18/2015,11,816
7/18/2015,12,821
7/18/2015,13,814
7/18/2015,14,828
7/18/2015,15,896
7/18/2015,16,982
7/18/2015,17,1072
7/18/2015,18,1114
7/18/2015,19,1143
7/18/2015,20,1147
7/18/2015,21,1152
7/18/2015,22,1157
7/18/2015,23,1157
7/19/2015,0,1158
7/19/2015,1,1162
7/19/2015,2,1145
7/19/2015,3,1136
7/19/2015,4,1113
7/19/2015,5,1112
7/19/2015,6,1078
7/19/2015,7,1010
7/19/2015,8,946
7/19/2015,9,902
7/19/2015,10,868
7/19/2015,11,859
7/19/2015,12,836
7/19/2015,13,832
7/19/2015,14,859
7/19/2015,15,929
7/19/2015,16,1002
7/19/2015,17,1078
7/19/2015,18,1113
7/19/2015,19,1160
7/19/2015,20,1182
7/19/2015,21,1196
7/19/2015,22,1209
7/19/2015,23,1219
7/20/2015,0,1249
7/20/2015,1,1238
7/20/2015,2,1234
7/20/2015,3,1217
7/20/2015,4,1194
7/20/2015,5,1198
7/20/2015,6,1139
7/20/2015,7,1039
7/20/2015,8,946
7/20/2015,9,908
7/20/2015,10,879
7/20/2015,11,875
7/20/2015,12,898
7/20/2015,13,952
7/20/2015,14,1044
7/20/2015,15,1132
7/20/2015,16,1182
7/20/2015,17,1191
7/20/2015,18,1229
7/20/2015,19,1250
7/20/2015,20,1247
7/20/2015,21,1238
7/20/2015,22,1248
7/20/2015,23,1253
7/21/2015,0,1260
7/21/2015,1,1264
7/21/2015,2,1227
7/21/2015,3,1184
7/21/2015,4,1144
7/21/2015,5,1151
7/21/2015,6,1075
7/21/2015,7,977
7/21/2015,8,910
7/21/2015,9,870
7/21/2015,10,832
7/21/2015,11,835
7/21/2015,12,847
7/21/2015,13,902
7/21/2015,14,1013
7/21/2015,15,1092
7/21/2015,16,1138
7/21/2015,17,1166
7/21/2015,18,1184
7/21/2015,19,1196
7/21/2015,20,1202
7/21/2015,21,1210
7/21/2015,22,1211
7/21/2015,23,1186
7/22/2015,0,1189
7/22/2015,1,1162
7/22/2015,2,1082
7/22/2015,3,1049
7/22/2015,4,1026
7/22/2015,5,1028
7/22/2015,6,969
7/22/2015,7,891
7/22/2015,8,810
7/22/2015,9,778
7/22/2015,10,752
7/22/2015,11,744
7/22/2015,12,764
7/22/2015,13,812
7/22/2015,14,919
7/22/2015,15,1009
7/22/2015,16,1066
7/22/2015,17,1113
7/22/2015,18,1122
7/22/2015,19,1156
7/22/2015,20,1155
7/22/2015,21,1158
7/22/2015,22,1153
7/22/2015,23,1143
7/23/2015,0,1149
7/23/2015,1,1133
7/23/2015,2,1093
7/23/2015,3,1057
7/23/2015,4,1038
7/23/2015,5,1035
7/23/2015,6,978
7/23/2015,7,886
7/23/2015,8,816
7/23/2015,9,772
7/23/2015,10,755
7/23/2015,11,744
7/23/2015,12,758
7/23/2015,13,816
7/23/2015,14,918
7/23/2015,15,1030
7/23/2015,16,1060
7/23/2015,17,1098
7/23/2015,18,1115
7/23/2015,19,1135
7/23/2015,20,1147
7/23/2015,21,1168
7/23/2015,22,1160
7/23/2015,23,1151
7/24/2015,0,1162
7/24/2015,1,1147
7/24/2015,2,1095
7/24/2015,3,1058
7/24/2015,4,1032
7/24/2015,5,1036
7/24/2015,6,980
7/24/2015,7,897
7/24/2015,8,824
7/24/2015,9,776
7/24/2015,10,759
7/24/2015,11,743
7/24/2015,12,780
7/24/2015,13,835
7/24/2015,14,954
7/24/2015,15,1057
7/24/2015,16,1097
7/24/2015,17,1141
7/24/2015,18,1160
7/24/2015,19,1153
7/24/2015,20,1163
7/24/2015,21,1146
7/24/2015,22,1173
7/24/2015,23,1162
7/25/2015,0,1165
7/25/2015,1,1157
7/25/2015,2,1112
7/25/2015,3,1077
7/25/2015,4,1057
7/25/2015,5,1063
7/25/2015,6,1014
7/25/2015,7,941
7/25/2015,8,885
7/25/2015,9,843
7/25/2015,10,814
7/25/2015,11,804
7/25/2015,12,792
7/25/2015,13,800
7/25/2015,14,836
7/25/2015,15,874
7/25/2015,16,962
7/25/2015,17,1010
7/25/2015,18,1047
7/25/2015,19,1058
7/25/2015,20,1057
7/25/2015,21,1048
7/25/2015,22,1034
7/25/2015,23,1004
7/26/2015,0,1007
7/26/2015,1,1004
7/26/2015,2,1005
7/26/2015,3,981
7/26/2015,4,974
7/26/2015,5,989
7/26/2015,6,953
7/26/2015,7,899
7/26/2015,8,843
7/26/2015,9,808
7/26/2015,10,790
7/26/2015,11,778
7/26/2015,12,771
7/26/2015,13,781
7/26/2015,14,799
7/26/2015,15,835
7/26/2015,16,901
7/26/2015,17,946
7/26/2015,18,995
7/26/2015,19,1005
7/26/2015,20,1030
7/26/2015,21,1028
7/26/2015,22,1028
7/26/2015,23,1013
7/27/2015,0,1034
7/27/2015,1,1050
7/27/2015,2,1040
7/27/2015,3,1025
7/27/2015,4,1010
7/27/2015,5,1013
7/27/2015,6,975
7/27/2015,7,894
7/27/2015,8,837
7/27/2015,9,811
7/27/2015,10,785
7/27/2015,11,786
7/27/2015,12,813
7/27/2015,13,855
7/27/2015,14,954
7/27/2015,15,1069
7/27/2015,16,1122
7/27/2015,17,1146
7/27/2015,18,1173
7/27/2015,19,1177
7/27/2015,20,1179
7/27/2015,21,1177
7/27/2015,22,1184
7/27/2015,23,1167
7/28/2015,0,1182
7/28/2015,1,1167
7/28/2015,2,1141
7/28/2015,3,1103
7/28/2015,4,1096
7/28/2015,5,1106
7/28/2015,6,1026
7/28/2015,7,943
7/28/2015,8,870
7/28/2015,9,834
7/28/2015,10,807
7/28/2015,11,799
7/28/2015,12,821
7/28/2015,13,869
7/28/2015,14,917
7/28/2015,15,1020
7/28/2015,16,1076
7/28/2015,17,1113
7/28/2015,18,1128
7/28/2015,19,1156
7/28/2015,20,1158
7/28/2015,21,1178
7/28/2015,22,1196
7/28/2015,23,1183
7/29/2015,0,1192
7/29/2015,1,1184
7/29/2015,2,1139
7/29/2015,3,1105
7/29/2015,4,1078
7/29/2015,5,1083
7/29/2015,6,1010
7/29/2015,7,910
7/29/2015,8,835
7/29/2015,9,798
7/29/2015,10,772
7/29/2015,11,763
7/29/2015,12,777
7/29/2015,13,828
7/29/2015,14,942
7/29/2015,15,1062
7/29/2015,16,1112
7/29/2015,17,1152
7/29/2015,18,1184
7/29/2015,19,1206
7/29/2015,20,1217
7/29/2015,21,1239
7/29/2015,22,1238
7/29/2015,23,1245
7/30/2015,0,1253
7/30/2015,1,1244
7/30/2015,2,1201
7/30/2015,3,1162
7/30/2015,4,1141
7/30/2015,5,1131
7/30/2015,6,1062
7/30/2015,7,957
7/30/2015,8,880
7/30/2015,9,834
7/30/2015,10,806
7/30/2015,11,785
7/30/2015,12,805
7/30/2015,13,855
7/30/2015,14,965
7/30/2015,15,1065
7/30/2015,16,1142
7/30/2015,17,1172
7/30/2015,18,1210
7/30/2015,19,1239
7/30/2015,20,1260
7/30/2015,21,1270
7/30/2015,22,1303
7/30/2015,23,1288
7/31/2015,0,1292
7/31/2015,1,1287
7/31/2015,2,1235
7/31/2015,3,1203
7/31/2015,4,1175
7/31/2015,5,1166
7/31/2015,6,1099
7/31/2015,7,989
7/31/2015,8,914
7/31/2015,9,855
7/31/2015,10,832
7/31/2015,11,812
7/31/2015,12,855
7/31/2015,13,912
7/31/2015,14,1033
7/31/2015,15,1136
7/31/2015,16,1202
7/31/2015,17,1246
7/31/2015,18,1259
7/31/2015,19,1289
7/31/2015,20,1299
7/31/2015,21,1311
7/31/2015,22,1330
7/31/2015,23,1325
8/1/2015,0,1341
8/1/2015,1,1320
8/1/2015,2,1256
8/1/2015,3,1198
8/1/2015,4,1166
8/1/2015,5,1166
8/1/2015,6,1104
8/1/2015,7,1022
8/1/2015,8,944
8/1/2015,9,898
8/1/2015,10,866
8/1/2015,11,843
8/1/2015,12,838
8/1/2015,13,851
8/1/2015,14,866
8/1/2015,15,938
8/1/2015,16,1026
8/1/2015,17,1090
8/1/2015,18,1132
8/1/2015,19,1153
8/1/2015,20,1169
8/1/2015,21,1168
8/1/2015,22,1166
8/1/2015,23,1167
8/2/2015,0,1178
8/2/2015,1,1178
8/2/2015,2,1173
8/2/2015,3,1147
8/2/2015,4,1113
8/2/2015,5,1127
8/2/2015,6,1072
8/2/2015,7,995
8/2/2015,8,931
8/2/2015,9,894
8/2/2015,10,866
8/2/2015,11,848
8/2/2015,12,840
8/2/2015,13,842
8/2/2015,14,856
8/2/2015,15,897
8/2/2015,16,971
8/2/2015,17,1022
8/2/2015,18,1069
8/2/2015,19,1101
8/2/2015,20,1120
8/2/2015,21,1123
8/2/2015,22,1136
8/2/2015,23,1137
8/3/2015,0,1170
8/3/2015,1,1196
8/3/2015,2,1180
8/3/2015,3,1140
8/3/2015,4,1156
8/3/2015,5,1162
8/3/2015,6,1097
8/3/2015,7,1000
8/3/2015,8,926
8/3/2015,9,890
8/3/2015,10,862
8/3/2015,11,860
8/3/2015,12,879
8/3/2015,13,942
8/3/2015,14,1048
8/3/2015,15,1131
8/3/2015,16,1179
8/3/2015,17,1205
8/3/2015,18,1218
8/3/2015,19,1256
8/3/2015,20,1241
8/3/2015,21,1279
8/3/2015,22,1291
8/3/2015,23,1288
8/4/2015,0,1293
8/4/2015,1,1295
8/4/2015,2,1250
8/4/2015,3,1187
8/4/2015,4,1180
8/4/2015,5,1184
8/4/2015,6,1100
8/4/2015,7,1004
8/4/2015,8,925
8/4/2015,9,870
8/4/2015,10,850
8/4/2015,11,842
8/4/2015,12,847
8/4/2015,13,890
8/4/2015,14,1015
8/4/2015,15,1116
8/4/2015,16,1153
8/4/2015,17,1173
8/4/2015,18,1181
8/4/2015,19,1203
8/4/2015,20,1229
8/4/2015,21,1231
8/4/2015,22,1241
8/4/2015,23,1223
8/5/2015,0,1230
8/5/2015,1,1215
8/5/2015,2,1139
8/5/2015,3,1088
8/5/2015,4,1071
8/5/2015,5,1072
8/5/2015,6,994
8/5/2015,7,900
8/5/2015,8,828
8/5/2015,9,787
8/5/2015,10,766
8/5/2015,11,757
8/5/2015,12,773
8/5/2015,13,825
8/5/2015,14,928
8/5/2015,15,1029
8/5/2015,16,1079
8/5/2015,17,1094
8/5/2015,18,1099
8/5/2015,19,1106
8/5/2015,20,1105
8/5/2015,21,1131
8/5/2015,22,1138
8/5/2015,23,1143
8/6/2015,0,1117
8/6/2015,1,1111
8/6/2015,2,1068
8/6/2015,3,1033
8/6/2015,4,1040
8/6/2015,5,1031
8/6/2015,6,954
8/6/2015,7,869
8/6/2015,8,807
8/6/2015,9,768
8/6/2015,10,749
8/6/2015,11,744
8/6/2015,12,761
8/6/2015,13,818
8/6/2015,14,937
8/6/2015,15,1030
8/6/2015,16,1076
8/6/2015,17,1101
8/6/2015,18,1116
8/6/2015,19,1131
8/6/2015,20,1140
8/6/2015,21,1164
8/6/2015,22,1146
8/6/2015,23,1152
8/7/2015,0,1152
8/7/2015,1,1153
8/7/2015,2,1107
8/7/2015,3,1075
8/7/2015,4,1055
8/7/2015,5,1051
8/7/2015,6,985
8/7/2015,7,895
8/7/2015,8,829
8/7/2015,9,782
8/7/2015,10,758
8/7/2015,11,753
8/7/2015,12,783
8/7/2015,13,861
8/7/2015,14,962
8/7/2015,15,1064
8/7/2015,16,1130
8/7/2015,17,1167
8/7/2015,18,1210
8/7/2015,19,1219
8/7/2015,20,1226
8/7/2015,21,1230
8/7/2015,22,1240
8/7/2015,23,1226
8/8/2015,0,1227
8/8/2015,1,1211
8/8/2015,2,1164
8/8/2015,3,1117
8/8/2015,4,1101
8/8/2015,5,1102
8/8/2015,6,1046
8/8/2015,7,973
8/8/2015,8,912
8/8/2015,9,860
8/8/2015,10,833
8/8/2015,11,817
8/8/2015,12,815
8/8/2015,13,824
8/8/2015,14,842
8/8/2015,15,894
8/8/2015,16,987
8/8/2015,17,1029
8/8/2015,18,1065
8/8/2015,19,1084
8/8/2015,20,1090
8/8/2015,21,1100
8/8/2015,22,1095
8/8/2015,23,1066
8/9/2015,0,1077
8/9/2015,1,1060
8/9/2015,2,1050
8/9/2015,3,1020
8/9/2015,4,1018
8/9/2015,5,1029
8/9/2015,6,988
8/9/2015,7,927
8/9/2015,8,875
8/9/2015,9,829
8/9/2015,10,804
8/9/2015,11,792
8/9/2015,12,790
8/9/2015,13,803
8/9/2015,14,809
8/9/2015,15,868
8/9/2015,16,931
8/9/2015,17,1006
8/9/2015,18,1035
8/9/2015,19,1057
8/9/2015,20,1047
8/9/2015,21,1057
8/9/2015,22,1066
8/9/2015,23,1086
8/10/2015,0,1108
8/10/2015,1,1120
8/10/2015,2,1127
8/10/2015,3,1104
8/10/2015,4,1091
8/10/2015,5,1107
8/10/2015,6,1032
8/10/2015,7,942
8/10/2015,8,870
8/10/2015,9,839
8/10/2015,10,827
8/10/2015,11,820
8/10/2015,12,839
8/10/2015,13,911
8/10/2015,14,1018
8/10/2015,15,1106
8/10/2015,16,1139
8/10/2015,17,1173
8/10/2015,18,1216
8/10/2015,19,1247
8/10/2015,20,1252
8/10/2015,21,1260
8/10/2015,22,1269
8/10/2015,23,1274
8/11/2015,0,1282
8/11/2015,1,1278
8/11/2015,2,1227
8/11/2015,3,1181
8/11/2015,4,1167
8/11/2015,5,1164
8/11/2015,6,1075
8/11/2015,7,978
8/11/2015,8,902
8/11/2015,9,856
8/11/2015,10,836
8/11/2015,11,832
8/11/2015,12,837
8/11/2015,13,896
