date,hour,mwh
7/11/2015,2,483
7/11/2015,1,486
7/11/2015,0,535
7/12/2015,23,785
7/12/2015,22,752
7/12/2015,21,813
7/12/2015,20,699
7/12/2015,19,807
7/12/2015,18,782
7/12/2015,17,676
7/12/2015,16,618
7/12/2015,15,509
7/12/2015,14,392
7/12/2015,13,278
7/12/2015,12,263
7/12/2015,11,264
7/12/2015,10,237
7/12/2015,9,249
7/12/2015,8,232
7/12/2015,7,314
7/12/2015,6,421
7/12/2015,5,433
7/12/2015,4,501
7/12/2015,3,532
7/12/2015,2,574
7/12/2015,1,676
7/12/2015,0,685
7/13/2015,23,618
7/13/2015,22,747
7/13/2015,21,663
7/13/2015,20,679
7/13/2015,19,821
7/13/2015,18,855
7/13/2015,17,781
7/13/2015,16,632
7/13/2015,15,554
7/13/2015,14,349
7/13/2015,13,207
7/13/2015,12,209
7/13/2015,11,234
7/13/2015,10,233
7/13/2015,9,255
7/13/2015,8,224
7/13/2015,7,334
7/13/2015,6,450
7/13/2015,5,549
7/13/2015,4,508
7/13/2015,3,670
7/13/2015,2,686
7/13/2015,1,739
7/13/2015,0,791
7/14/2015,23,756
7/14/2015,22,752
7/14/2015,21,767
7/14/2015,20,622
7/14/2015,19,681
7/14/2015,18,662
7/14/2015,17,571
7/14/2015,16,546
7/14/2015,15,460
7/14/2015,14,404
7/14/2015,13,236
7/14/2015,12,209
7/14/2015,11,281
7/14/2015,10,263
7/14/2015,9,207
7/14/2015,8,214
7/14/2015,7,305
7/14/2015,6,398
7/14/2015,5,330
7/14/2015,4,585
7/14/2015,3,556
7/14/2015,2,529
7/14/2015,1,638
7/14/2015,0,682
7/15/2015,23,595
7/15/2015,22,706
7/15/2015,21,720
7/15/2015,20,658
7/15/2015,19,673
7/15/2015,18,716
7/15/2015,17,690
7/15/2015,16,635
7/15/2015,15,533
7/15/2015,14,394
7/15/2015,13,211
7/15/2015,12,232
7/15/2015,11,233
7/15/2015,10,242
7/15/2015,9,235
7/15/2015,8,247
7/15/2015,7,334
7/15/2015,6,327
7/15/2015,5,383
7/15/2015,4,530
7/15/2015,3,557
7/15/2015,2,637
7/15/2015,1,722
7/15/2015,0,703
7/16/2015,23,498
7/16/2015,22,590
7/16/2015,21,647
7/16/2015,20,660
7/16/2015,19,648
7/16/2015,18,647
7/16/2015,17,467
7/16/2015,16,577
7/16/2015,15,396
7/16/2015,14,363
7/16/2015,13,227
7/16/2015,12,211
7/16/2015,11,219
7/16/2015,10,234
7/16/2015,9,241
7/16/2015,8,251
7/16/2015,7,395
7/16/2015,6,303
7/16/2015,5,373
7/16/2015,4,604
7/16/2015,3,570
7/16/2015,2,571
7/16/2015,1,638
7/16/2015,0,561
7/17/2015,23,695
7/17/2015,22,715
7/17/2015,21,733
7/17/2015,20,698
7/17/2015,19,653
7/17/2015,18,421
7/17/2015,17,469
7/17/2015,16,379
7/17/2015,15,358
7/17/2015,14,336
7/17/2015,13,207
7/17/2015,12,203
7/17/2015,11,207
7/17/2015,10,215
7/17/2015,9,240
7/17/2015,8,247
7/17/2015,7,372
7/17/2015,6,518
7/17/2015,5,501
7/17/2015,4,600
7/17/2015,3,495
7/17/2015,2,538
7/17/2015,1,639
7/17/2015,0,695
7/18/2015,23,743
7/18/2015,22,727
7/18/2015,21,743
7/18/2015,20,759
7/18/2015,19,640
7/18/2015,18,643
7/18/2015,17,543
7/18/2015,16,365
7/18/2015,15,219
7/18/2015,14,222
7/18/2015,13,228
7/18/2015,12,246
7/18/2015,11,234
7/18/2015,10,276
7/18/2015,9,255
7/18/2015,8,301
7/18/2015,7,461
7/18/2015,6,563
7/18/2015,5,469
7/18/2015,4,440
7/18/2015,3,519
7/18/2015,2,597
7/18/2015,1,727
7/18/2015,0,714
7/19/2015,23,626
7/19/2015,22,731
7/19/2015,21,707
7/19/2015,20,713
7/19/2015,19,762
7/19/2015,18,670
7/19/2015,17,549
7/19/2015,16,387
7/19/2015,15,333
7/19/2015,14,265
7/19/2015,13,207
7/19/2015,12,217
7/19/2015,11,218
7/19/2015,10,242
7/19/2015,9,231
7/19/2015,8,300
7/19/2015,7,512
7/19/2015,6,529
7/19/2015,5,457
7/19/2015,4,498
7/19/2015,3,654
7/19/2015,2,743
7/19/2015,1,788
7/19/2015,0,810
7/20/2015,23,417
7/20/2015,22,429
7/20/2015,21,403
7/20/2015,20,417
7/20/2015,19,450
7/20/2015,18,412
7/20/2015,17,353
7/20/2015,16,431
7/20/2015,15,352
7/20/2015,14,403
7/20/2015,13,233
7/20/2015,12,238
7/20/2015,11,276
7/20/2015,10,236
7/20/2015,9,249
7/20/2015,8,337
7/20/2015,7,268
7/20/2015,6,449
7/20/2015,5,650
7/20/2015,4,665
7/20/2015,3,615
7/20/2015,2,578
7/20/2015,1,586
7/20/2015,0,714
7/21/2015,23,654
7/21/2015,22,663
7/21/2015,21,522
7/21/2015,20,681
7/21/2015,19,678
7/21/2015,18,619
7/21/2015,17,563
7/21/2015,16,565
7/21/2015,15,553
7/21/2015,14,397
7/21/2015,13,276
7/21/2015,12,261
7/21/2015,11,249
7/21/2015,10,235
7/21/2015,9,226
7/21/2015,8,330
7/21/2015,7,340
7/21/2015,6,338
7/21/2015,5,506
7/21/2015,4,427
7/21/2015,3,518
7/21/2015,2,555
7/21/2015,1,536
7/21/2015,0,451
7/22/2015,23,639
7/22/2015,22,590
7/22/2015,21,638
7/22/2015,20,652
7/22/2015,19,633
7/22/2015,18,581
7/22/2015,17,565
7/22/2015,16,618
7/22/2015,15,515
7/22/2015,14,396
7/22/2015,13,247
7/22/2015,12,222
7/22/2015,11,230
7/22/2015,10,225
7/22/2015,9,242
7/22/2015,8,245
7/22/2015,7,289
7/22/2015,6,423
7/22/2015,5,399
7/22/2015,4,454
7/22/2015,3,398
