date,hour,mwh
7/12/2015,14,-418
7/12/2015,13,-513
7/12/2015,12,-526
7/12/2015,11,-514
7/12/2015,10,-557
7/12/2015,9,-567
7/12/2015,8,-610
7/12/2015,7,-583
7/12/2015,6,-532
7/12/2015,5,-554
7/12/2015,4,-482
7/12/2015,3,-456
7/12/2015,2,-426
7/12/2015,1,-332
7/12/2015,0,-319
7/13/2015,23,-601
7/13/2015,22,-486
7/13/2015,21,-572
7/13/2015,20,-537
7/13/2015,19,-382
7/13/2015,18,-338
7/13/2015,17,-387
7/13/2015,16,-530
7/13/2015,15,-566
7/13/2015,14,-649
7/13/2015,13,-683
7/13/2015,12,-624
7/13/2015,11,-574
7/13/2015,10,-578
7/13/2015,9,-577
7/13/2015,8,-642
7/13/2015,7,-591
7/13/2015,6,-562
7/13/2015,5,-512
7/13/2015,4,-551
7/13/2015,3,-397
7/13/2015,2,-388
7/13/2015,1,-347
7/13/2015,0,-271
7/14/2015,23,-472
7/14/2015,22,-488
7/14/2015,21,-466
7/14/2015,20,-590
7/14/2015,19,-533
7/14/2015,18,-523
7/14/2015,17,-595
7/14/2015,16,-586
7/14/2015,15,-626
7/14/2015,14,-563
7/14/2015,13,-611
7/14/2015,12,-604
7/14/2015,11,-513
7/14/2015,10,-531
7/14/2015,9,-596
7/14/2015,8,-644
7/14/2015,7,-624
7/14/2015,6,-638
7/14/2015,5,-764
7/14/2015,4,-522
7/14/2015,3,-576
7/14/2015,2,-643
7/14/2015,1,-567
7/14/2015,0,-531
7/15/2015,23,-578
7/15/2015,22,-461
7/15/2015,21,-452
7/15/2015,20,-513
7/15/2015,19,-489
7/15/2015,18,-416
7/15/2015,17,-440
7/15/2015,16,-461
7/15/2015,15,-513
7/15/2015,14,-531
7/15/2015,13,-584
7/15/2015,12,-533
7/15/2015,11,-513
7/15/2015,10,-519
7/15/2015,9,-549
7/15/2015,8,-580
7/15/2015,7,-566
7/15/2015,6,-674
7/15/2015,5,-671
7/15/2015,4,-529
7/15/2015,3,-528
7/15/2015,2,-480
7/15/2015,1,-484
7/15/2015,0,-517
7/16/2015,23,-648
7/16/2015,22,-573
7/16/2015,21,-501
7/16/2015,20,-482
7/16/2015,19,-474
7/16/2015,18,-458
7/16/2015,17,-614
7/16/2015,16,-475
7/16/2015,15,-619
7/16/2015,14,-551
7/16/2015,13,-584
7/16/2015,12,-545
7/16/2015,11,-528
7/16/2015,10,-520
7/16/2015,9,-540
7/16/2015,8,-574
7/16/2015,7,-494
7/16/2015,6,-678
7/16/2015,5,-684
7/16/2015,4,-448
7/16/2015,3,-503
7/16/2015,2,-540
7/16/2015,1,-525
7/16/2015,0,-619
7/17/2015,23,-500
7/17/2015,22,-490
7/17/2015,21,-481
7/17/2015,20,-520
7/17/2015,19,-548
7/17/2015,18,-758
7/17/2015,17,-680
7/17/2015,16,-732
7/17/2015,15,-695
7/17/2015,14,-621
7/17/2015,13,-617
7/17/2015,12,-575
7/17/2015,11,-554
7/17/2015,10,-539
7/17/2015,9,-540
7/17/2015,8,-576
7/17/2015,7,-526
7/17/2015,6,-474
7/17/2015,5,-534
7/17/2015,4,-437
7/17/2015,3,-573
7/17/2015,2,-563
7/17/2015,1,-507
7/17/2015,0,-460
7/18/2015,23,-398
7/18/2015,22,-413
7/18/2015,21,-392
7/18/2015,20,-371
7/18/2015,19,-489
7/18/2015,18,-457
7/18/2015,17,-515
7/18/2015,16,-605
7/18/2015,15,-666
7/18/2015,14,-594
7/18/2015,13,-571
7/18/2015,12,-561
7/18/2015,11,-572
7/18/2015,10,-539
7/18/2015,9,-591
7/18/2015,8,-585
7/18/2015,7,-489
7/18/2015,6,-465
7/18/2015,5,-603
7/18/2015,4,-628
7/18/2015,3,-575
7/18/2015,2,-531
7/18/2015,1,-450
7/18/2015,0,-480
7/19/2015,23,-578
7/19/2015,22,-463
7/19/2015,21,-472
7/19/2015,20,-454
7/19/2015,19,-381
7/19/2015,18,-427
7/19/2015,17,-514
7/19/2015,16,-601
7/19/2015,15,-584
7/19/2015,14,-586
7/19/2015,13,-616
7/19/2015,12,-610
7/19/2015,11,-631
7/19/2015,10,-616
7/19/2015,9,-662
7/19/2015,8,-635
7/19/2015,7,-487
7/19/2015,6,-536
7/19/2015,5,-642
7/19/2015,4,-603
7/19/2015,3,-468
7/19/2015,2,-388
7/19/2015,1,-358
7/19/2015,0,-331
7/20/2015,23,-823
7/20/2015,22,-804
7/20/2015,21,-821
7/20/2015,20,-815
7/20/2015,19,-783
7/20/2015,18,-800
7/20/2015,17,-823
7/20/2015,16,-737
7/20/2015,15,-768
7/20/2015,14,-630
7/20/2015,13,-706
7/20/2015,12,-649
7/20/2015,11,-589
7/20/2015,10,-633
7/20/2015,9,-648
7/20/2015,8,-598
7/20/2015,7,-757
7/20/2015,6,-675
7/20/2015,5,-533
7/20/2015,4,-515
7/20/2015,3,-586
7/20/2015,2,-641
7/20/2015,1,-637
7/20/2015,0,-519
7/21/2015,23,-517
7/21/2015,22,-533
7/21/2015,21,-673
7/21/2015,20,-507
7/21/2015,19,-502
7/21/2015,18,-549
7/21/2015,17,-589
7/21/2015,16,-559
7/21/2015,15,-526
7/21/2015,14,-604
7/21/2015,13,-615
7/21/2015,12,-576
