date,hour,mwh
7/11/2015,00H,535
7/11/2015,01H,486
7/11/2015,02H,483
7/11/2015,03H,562
7/11/2015,04H,449
7/11/2015,05H,444
7/11/2015,06H,417
7/11/2015,07H,359
7/11/2015,08H,307
7/11/2015,09H,237
7/11/2015,10H,214
7/11/2015,11H,260
7/11/2015,12H,340
7/11/2015,13H,323
7/11/2015,14H,364
7/11/2015,15H,361
7/11/2015,16H,464
7/11/2015,17H,523
7/11/2015,18H,565
7/11/2015,19H,565
7/11/2015,20H,693
7/11/2015,21H,681
7/11/2015,22H,699
7/11/2015,23H,690
7/12/2015,00H,685
7/12/2015,01H,676
7/12/2015,02H,574
7/12/2015,03H,532
7/12/2015,04H,501
7/12/2015,05H,433
7/12/2015,06H,421
7/12/2015,07H,314
7/12/2015,08H,232
7/12/2015,09H,249
7/12/2015,10H,237
7/12/2015,11H,264
7/12/2015,12H,263
7/12/2015,13H,278
7/12/2015,14H,392
7/12/2015,15H,509
7/12/2015,16H,618
7/12/2015,17H,676
7/12/2015,18H,782
7/12/2015,19H,807
7/12/2015,20H,699
7/12/2015,21H,813
7/12/2015,22H,752
7/12/2015,23H,785
7/13/2015,00H,791
7/13/2015,01H,739
7/13/2015,02H,686
7/13/2015,03H,670
7/13/2015,04H,508
7/13/2015,05H,549
7/13/2015,06H,450
7/13/2015,07H,334
7/13/2015,08H,224
7/13/2015,09H,255
7/13/2015,10H,233
7/13/2015,11H,234
7/13/2015,12H,209
7/13/2015,13H,207
7/13/2015,14H,349
7/13/2015,15H,554
7/13/2015,16H,632
7/13/2015,17H,781
7/13/2015,18H,855
7/13/2015,19H,821
7/13/2015,20H,679
7/13/2015,21H,663
7/13/2015,22H,747
7/13/2015,23H,618
7/14/2015,00H,682
7/14/2015,01H,638
7/14/2015,02H,529
7/14/2015,03H,556
7/14/2015,04H,585
7/14/2015,05H,330
7/14/2015,06H,398
7/14/2015,07H,305
7/14/2015,08H,214
7/14/2015,09H,207
7/14/2015,10H,263
7/14/2015,11H,281
7/14/2015,12H,209
7/14/2015,13H,236
7/14/2015,14H,404
7/14/2015,15H,460
7/14/2015,16H,546
7/14/2015,17H,571
7/14/2015,18H,662
7/14/2015,19H,681
7/14/2015,20H,622
7/14/2015,21H,767
7/14/2015,22H,752
7/14/2015,23H,756
7/15/2015,00H,703
7/15/2015,01H,722
7/15/2015,02H,637
7/15/2015,03H,557
7/15/2015,04H,530
7/15/2015,05H,383
7/15/2015,06H,327
7/15/2015,07H,334
7/15/2015,08H,247
7/15/2015,09H,235
7/15/2015,10H,242
